unique_code,make_slug,make_name,model_slug,model_name,year,trim_slug,trim_name,variant_slug,variant_name,vehicle_type,drivetrain,system_power_kw,system_torque_nm,battery_capacity_gross_kwh,battery_capacity_net_kwh,battery_chemistry,dc_max_power_kw,ac_max_power_kw,range_wltp_km,range_epa_km,acceleration_0_100_s,top_speed_kmh,charge_connectors,sources
mercedes_benz:eqa:2024:eqa_300_4matic,mercedes_benz,Mercedes-Benz,eqa,EQA,2024,base,Base,300_4matic,300 4MATIC,Suv,Awd,168,390,66.5,60,li-ion,100,11,400,,7.7,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqa/
mercedes_benz:eqa:2025:eqa,mercedes_benz,Mercedes-Benz,eqa,EQA,2025,base,Base,,,Suv,Fwd,140,385,66.5,60,li-ion,100,11,426,,8.9,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqa/
mercedes_benz:eqa:2025:eqa_350_4matic,mercedes_benz,Mercedes-Benz,eqa,EQA,2025,base,Base,350_4matic,350 4MATIC,Suv,Awd,215,520,66.5,60,li-ion,100,11,395,,6,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqa/
mercedes_benz:eqa:2025:eqa_300_4matic,mercedes_benz,Mercedes-Benz,eqa,EQA,2025,base,Base,300_4matic,300 4MATIC,Suv,Awd,168,390,66.5,60,li-ion,100,11,400,,7.7,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqa/
mercedes_benz:eqb:2023:eqb,mercedes_benz,Mercedes-Benz,eqb,EQB,2023,base,Base,,,Suv,Fwd,140,385,66.5,60,li-ion,100,11,419,,8,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqb/
mercedes_benz:eqb:2023:eqb_350_4matic,mercedes_benz,Mercedes-Benz,eqb,EQB,2023,base,Base,350_4matic,350 4MATIC,Suv,Awd,215,520,66.5,60,li-ion,100,11,395,,6.2,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqb/
mercedes_benz:eqb:2023:eqb_7_seater,mercedes_benz,Mercedes-Benz,eqb,EQB,2023,base,Base,7_seater,7-Seater,Suv,Fwd,140,385,66.5,60,li-ion,100,11,410,,8,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqb/
mercedes_benz:eqb:2023:eqb_300_4matic,mercedes_benz,Mercedes-Benz,eqb,EQB,2023,base,Base,300_4matic,300 4MATIC,Suv,Awd,168,390,66.5,60,li-ion,100,11,400,,7.7,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqb/
mercedes_benz:eqb:2023:eqb_300_4matic_7_seater,mercedes_benz,Mercedes-Benz,eqb,EQB,2023,base,Base,300_4matic_7_seater,300 4MATIC 7-Seater,Suv,Awd,168,390,66.5,60,li-ion,100,11,390,,7.7,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqb/
mercedes_benz:eqb:2023:eqb_350_4matic_7_seater,mercedes_benz,Mercedes-Benz,eqb,EQB,2023,base,Base,350_4matic_7_seater,350 4MATIC 7-Seater,Suv,Awd,215,520,66.5,60,li-ion,100,11,385,,6.2,160,Ccs2,https://www.mercedes-benz.com/en/vehicles/passenger-cars/eqb/
